Estacao;Valor;Valor_D-1;m_postos;Incosistente;Area;P100;P95;P90
1;3.64;9.49;9.42;0;210000;55.87;22.08;18.63
1;8.33;3.64;12.21;0;210000;55.87;22.08;18.63
1;17.27;8.33;23.49;0;210000;55.87;22.08;18.63
1;10.42;17.27;9.43;0;210000;55.87;22.08;18.63
1;7.5;10.42;9.29;0;210000;55.87;22.08;18.63
1;12.19;7.5;12.69;0;210000;55.87;22.08;18.63
1;19.54;12.19;17.77;0;210000;55.87;22.08;18.63
1;16.89;19.54;17.44;0;210000;55.87;22.08;18.63
1;22.61;16.89;16.47;0;210000;55.87;22.08;18.63
1;15.39;22.61;11.26;0;210000;55.87;22.08;18.63
1;20;15.39;19.72;0;210000;55.87;22.08;18.63
1;23.99;20;17.22;0;210000;55.87;22.08;18.63
1;0.87;23.99;0.77;0;210000;55.87;22.08;18.63
1;0.41;0.87;0.15;0;210000;55.87;22.08;18.63
1;1.28;0.41;1.26;0;210000;55.87;22.08;18.63
1;3.25;1.28;1.24;0;210000;55.87;22.08;18.63
1;1.96;3.25;0.13;0;210000;55.87;22.08;18.63
1;2.18;1.96;0.83;0;210000;55.87;22.08;18.63
1;3.84;2.18;2.82;0;210000;55.87;22.08;18.63
1;1.15;3.84;3.02;0;210000;55.87;22.08;18.63
1;2.54;1.15;2.41;0;210000;55.87;22.08;18.63
1;0.68;2.54;1.02;0;210000;55.87;22.08;18.63
1;0.83;0.68;1.95;0;210000;55.87;22.08;18.63
1;0.7;0.83;1.92;0;210000;55.87;22.08;18.63
1;9.51;0.7;11.79;0;210000;55.87;22.08;18.63
1;24.22;9.51;6.23;0;210000;55.87;22.08;18.63
1;37.63;24.22;14.34;1;210000;55.87;22.08;18.63
1;2.06;37.63;1.15;0;210000;55.87;22.08;18.63
1;7.52;2.06;6.18;0;210000;55.87;22.08;18.63
1;17.26;7.52;8.27;0;210000;55.87;22.08;18.63
1;8.05;17.26;11.81;0;210000;55.87;22.08;18.63
1;3.66;8.05;4.74;0;210000;55.87;22.08;18.63
1;7.01;3.66;9.18;0;210000;55.87;22.08;18.63
1;6.17;7.01;3.32;0;210000;55.87;22.08;18.63
1;5.73;6.17;6.12;0;210000;55.87;22.08;18.63
1;8.17;5.73;11.22;0;210000;55.87;22.08;18.63
1;7.04;8.17;12.91;0;210000;55.87;22.08;18.63
1;9.63;7.04;11.37;0;210000;55.87;22.08;18.63
1;2.78;9.63;11.64;0;210000;55.87;22.08;18.63
1;10.2;2.78;14.01;0;210000;55.87;22.08;18.63
1;7.47;10.2;7.34;0;210000;55.87;22.08;18.63
1;18.95;7.47;19.18;0;210000;55.87;22.08;18.63
1;7.67;18.95;13.05;0;210000;55.87;22.08;18.63
1;6.17;7.67;6.27;0;210000;55.87;22.08;18.63
